Category,Question / Statement,Correct Answer,Explanation
Irrigation Eng.,Drip irrigation has higher water efficiency than Sprinkler irrigation.,TRUE,Drip minimizes evaporation and runoff by applying water to roots.
Irrigation Eng.,"A ""Weir"" is a structure used to store water.",FALSE,A Weir raises water level to divert it; a Dam stores water.
Irrigation Eng.,"""Perennial Irrigation"" means supplying water throughout the year.",TRUE,"As opposed to ""Inundation"" (seasonal flood) irrigation."
Irrigation Eng.,"An ""Aqueduct"" carries a canal below a drainage.",FALSE,"In an Aqueduct, the canal passes over (above) the drainage."
Irrigation Eng.,"The ""Base Period"" is the time between first watering and last watering.",TRUE,It is slightly shorter than the Crop Period.
Irrigation Eng.,Lining of canals is done to increase seepage losses.,FALSE,Lining is done to reduce seepage losses and increase velocity.
Irrigation Eng.,"""Waterlogging"" makes the land more fertile.",FALSE,Waterlogging brings salts to the surface (salinity) and ruins fertility.
Irrigation Eng.,"A ""Divide Wall"" separates the weir from the under-sluices.",TRUE,It creates a pocket for silt control in front of the canal head regulator.
Estimating & Costing,The unit of measurement for Earthwork in excavation is Square Meter (m2).,FALSE,Earthwork is measured in Cubic Meters (m3).
Estimating & Costing,1 Bag of Cement weighs 50 kg.,TRUE,This is the standard commercial weight.
Estimating & Costing,"""Contingencies"" are usually added at 3% to 5% of the estimated cost.",TRUE,To cover unforeseen expenses.
Estimating & Costing,Brick partition walls (half-brick thick) are measured in running meters.,FALSE,They are usually measured in Square Meters (m2).
Estimating & Costing,"""Scrap Value"" is the value of a dismantled material.",TRUE,"The value of ""junk"" after the building is pulled down."
Estimating & Costing,"A ""Revised Estimate"" is prepared when the original estimate is exceeded by 5%.",TRUE,It is required if costs deviate significantly.
Estimating & Costing,The density of mild steel is 7850 kg/m3.,TRUE,A standard value used in estimation.
Estimating & Costing,"""Plinth Area"" includes the area of the courtyard.",FALSE,Plinth area is the covered area; open courtyards are excluded.
Estimating & Costing,Painting works are measured in Cubic Meters.,FALSE,Painting is measured in Square Meters (m2) (Surface area).
Estimating & Costing,"""Lead"" refers to the horizontal distance materials are carried.",TRUE,"""Lift"" is the vertical distance."
Const. Management,"The ""Critical Path"" is the shortest path in a network diagram.",FALSE,The Critical Path is the Longest path in time (determines project duration).
Const. Management,"A ""Bar Chart"" is also known as a Gantt Chart.",TRUE,Named after Henry Gantt.
Const. Management,"""Earnest Money"" is deposited by the contractor after winning the bid.",FALSE,"It is deposited with the tender (bid) to show seriousness. ""Security Deposit"" is after winning."
Const. Management,"A ""Muster Roll"" is used for paying permanent monthly salaried staff.",FALSE,It is used for daily wage laborers.
Const. Management,"""Slack"" is the time an event can be delayed without delaying the project.",TRUE,Similar to Float for activities.
Const. Management,"A ""Tender"" is an offer to do work at a certain price.",TRUE,It is a formal bid.
Const. Management,"""Arbitration"" is a method of settling disputes in court.",FALSE,It is a method of settling disputes outside of court.
Const. Management,CPM stands for Construction Project Method.,FALSE,CPM stands for Critical Path Method.
Const. Management,"The ""Measurement Book"" (MB) is a very important legal document.",TRUE,It is the basis for all payments to contractors.
Const. Management,Organization is the arrangement of personnel to achieve a goal.,TRUE,Structuring the team for efficiency.
