Category,Question / Statement,Correct Answer,Explanation
General Aptitude,"If a man walks North and turns right, he is now walking East.",TRUE,A 90-degree right turn from North points East.
General Aptitude,10% of 500 is 50.,TRUE,500×0.10=50.
General Aptitude,"""Daughter"" is the female gender of ""Son"".",TRUE,They are opposite genders of offspring.
General Aptitude,A cube has 8 faces.,FALSE,"A cube has 6 faces, 8 vertices, and 12 edges."
General Aptitude,"If today is Sunday, the day after tomorrow is Tuesday.",TRUE,Sunday -> Monday -> Tuesday.
General Aptitude,"The word ""LEVEL"" reads the same backwards and forwards.",TRUE,It is a palindrome.
General Aptitude,A kilometer is longer than a mile.,FALSE,1 Mile is approx 1.6 Kilometers. A mile is longer.
Surveying,Plane surveying takes the curvature of the earth into account.,FALSE,Geodetic surveying accounts for curvature; Plane surveying treats earth as flat.
Surveying,"A ""Ranging Rod"" is used for leveling surfaces.",FALSE,"It is used for marking stations and ranging lines, not leveling."
Surveying,Contour lines of different elevations can cross each other in the case of an overhanging cliff.,TRUE,This is the only exception where contour lines cross.
Surveying,"In a whole circle bearing (WCB) system, 270° represents West.",TRUE,"0° is North, 90° East, 180° South, 270° West."
Surveying,A plumb bob is used to center the theodolite over a station.,TRUE,It transfers the ground point vertically to the instrument center.
Surveying,The total sum of interior angles of a triangle is 360°.,FALSE,The sum of interior angles of a triangle is 180°.
Surveying,"""Reciprocal Leveling"" eliminates the error due to curvature and refraction.",TRUE,"By taking readings from both banks, these errors cancel out."
Surveying,The length of a Gunter's chain is 66 feet.,TRUE,"It consists of 100 links, total 66 ft."
Surveying,Orientation is the process of setting up the plane table relative to magnetic north.,TRUE,Or relative to previous stations.
Surveying,GPS stands for General Position System.,FALSE,GPS stands for Global Positioning System.
Construction Materials,Cement should be stored in a damp and open place.,FALSE,"Cement is hygroscopic and must be stored in dry, moisture-proof sheds."
Construction Materials,The red color of a brick is due to Iron Oxide.,TRUE,Iron oxide acts as a flux and gives the red tint.
Construction Materials,"""Frog"" is the depression on the top face of a brick.",TRUE,It holds mortar (key) and carries the manufacturer's mark.
Construction Materials,Granite is an example of Sedimentary Rock.,FALSE,Granite is an Igneous Rock.
Construction Materials,Seasoning increases the strength of timber.,TRUE,"Removing moisture increases strength, durability, and stability."
Construction Materials,Bitumen is obtained from the destructive distillation of coal.,FALSE,Bitumen is a petroleum product. Tar is from coal.
Construction Materials,"Stainless steel is an alloy of steel, chromium, and nickel.",TRUE,Chromium provides corrosion resistance.
Construction Materials,Sand particles are smaller than clay particles.,FALSE,Clay particles are the smallest (<0.002mm). Sand is larger.
Construction Materials,Lime is used as a binding material in mortar.,TRUE,"Before cement, lime was the primary binder."
Construction Materials,Plywood has uniform strength in all directions.,TRUE,Due to cross-graining of veneers (plies).
Building Construction,"A ""Stretcher"" is a brick laid with its length parallel to the face of the wall.",TRUE,"""Header"" is when the width is parallel to the face."
Building Construction,DPC is usually provided at the roof level.,FALSE,DPC (Damp Proof Course) is provided at plinth level to stop rising damp.
Building Construction,"The ""King Post"" is the central vertical post in a roof truss.",TRUE,It connects the ridge to the tie beam.
Building Construction,"A ""Lintel"" is a vertical member supporting a door frame.",FALSE,A Lintel is a horizontal member above an opening to support the wall load.
Building Construction,English Bond is stronger than Flemish Bond.,TRUE,"English bond has no continuous vertical joints and more headers, making it stronger."
Building Construction,"The ""Riser"" is the horizontal part of a step.",FALSE,Riser is vertical; Tread is horizontal.
Building Construction,Foundation depth is calculated using Rankine’s Formula.,TRUE,D=(P/w)×((1−sinϕ)/(1+sinϕ))2.
Building Construction,Scaffolding is a permanent structure.,FALSE,Scaffolding is a temporary structure for workers to reach heights.
Building Construction,"""Soffit"" refers to the undersurface of an arch or beam.",TRUE,The bottom visible surface.
Building Construction,Cavity walls provide better thermal insulation than solid walls.,TRUE,The air gap acts as an insulator against heat and sound.
