Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Public Management,How many types of leaves are generally categorized in Nepal Civil Service Act?,6,8,9,5,Option C,"(Bida) typically includes Bhainpari, Parba, Birami, Prasuti, Kiriya, Adhayayan, Asadharan, Bektalabi, Satta. (Approx 9)."
Public Management,"The main objective of ""Citizen Charter"" (Nagarik Badapatra) is:",To punish staff,To inform service seekers,To collect tax,To recruit employees,Option B,"It informs citizens about services, time required, responsible officer, and fees."
Public Management,The fiscal year in Nepal generally starts from the month of:,Baisakh,Shrawan,Kartik,Magh,Option B,The fiscal year (Aarthik Barsha) starts on Shrawan 1st.
General Aptitude,"Complete the series: 2, 4, 8, 16, ?",20,24,30,32,Option D,Each number is double the previous one (16×2=32).
General Aptitude,"If CAT is coded as 3120, then DOG is coded as:",4157,4127,3157,4207,Option A,"A=1, B=2, C=3... D=4, O=15, G=7. So, 4157."
General Aptitude,"Pointing to a man, a woman said, ""His mother is the only daughter of my mother."" How is the woman related to the man?",Sister,Grandmother,Mother,Aunt,Option C,"""Only daughter of my mother"" is the woman herself. So, she is the mother of the man."
General Aptitude,Which word does not belong to the group?,Chair,Table,Radio,Bed,Option C,Radio is an electronic device; the others are furniture.
General Aptitude,"If 10 men can do a work in 20 days, how many days will 20 men take to do the same work?",40 days,20 days,10 days,5 days,Option C,Inverse proportion: M1​×D1​=M2​×D2​. 10×20=200. 200/20=10 days.
General Aptitude,"Find the odd one out: 27, 64, 125, 144.",27,64,125,144,Option D,"27 (33), 64 (43), 125 (53) are cubes. 144 (122) is a square."
General Aptitude,"A person walks 4 km North, then turns Right and walks 3 km. How far is he from the starting point?",7 km,5 km,6 km,12 km,Option B,Use Pythagoras theorem: 42+32​=16+9​=25​=5 km.
General Aptitude,Synonym of 'Huge' is:,Tiny,Enormous,Soft,Weak,Option B,"Enormous means very large, similar to Huge."
General Aptitude,"What comes next: A, C, F, J, ?",M,N,O,P,Option C,"A(+2)→C, C(+3)→F, F(+4)→J, J(+5)→O."
General Aptitude,"In a class of 40 students, Ram is 10th from the top. What is his rank from the bottom?",30,31,32,29,Option B,"Formula: Total - Top + 1. So, 40−10+1=31."
