Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Sanitary Engineering,The depth of water seal in a good trap is usually:,2.5 to 7.5 cm,10 to 15 cm,15 to 20 cm,> 20 cm,Option A,
Sanitary Engineering,A pipe carrying human excreta (night soil) is called:,Waste pipe,Vent pipe,Soil pipe,Anti-siphonage pipe,Option C,
Sanitary Engineering,BOD stands for:,Biological Oxygen Demand,Biochemical Oxygen Demand,Basic Oxygen Demand,Bacterial Oxygen Demand,Option B,
Sanitary Engineering,The minimum diameter of a sewer pipe recommended is:,10 cm,15 cm,20 cm,30 cm,Option B,
Sanitary Engineering,The standard detention period for a septic tank is:,4-6 hours,12 hours,24 hours,7 days,Option C,
Sanitary Engineering,A manhole is generally provided at:,Change of grade,Change of direction,Change of pipe size,All of the above,Option D,
Sanitary Engineering,The gas produced in a septic tank which is combustible is:,Nitrogen,Oxygen,Methane,Carbon dioxide,Option C,
Sanitary Engineering,The minimum self-cleansing velocity in a sewer is approximately:,0.45 m/s,0.75 m/s,1.5 m/s,3.0 m/s,Option B,
Sanitary Engineering,Liquid waste from kitchens and bathrooms (excluding toilets) is called:,Sewage,Sullage,Garbage,Refuse,Option B,
Sanitary Engineering,A trap used to receive waste from the floor (bathroom/kitchen) is:,Gully trap,P-trap,S-trap,Nahani trap,Option D,
Highway Engineering,The transverse slope provided to the road surface for drainage is called:,Gradient,Camber,Super elevation,Curve,Option B,
Highway Engineering,Super elevation is provided to counteract:,Gravitational force,Friction,Centrifugal force,Wind pressure,Option C,
Highway Engineering,The minimum width of a single-lane carriageway is:,2.5 m,3.0 m,3.5 m,3.75 m,Option D,
Highway Engineering,Stopping Sight Distance (SSD) depends on:,Speed of vehicle,Reaction time,Friction,All of the above,Option D,
Highway Engineering,The hardest grade of bitumen among the following is:,30/40,60/70,80/100,100/120,Option A,
Highway Engineering,CBR test is used to evaluate the strength of:,Sub-grade soil,Bitumen,Aggregate,Concrete,Option A,
Highway Engineering,The boundary between the pavement and the shoulder is marked by:,Kerb,Edge line,Median,Guard rail,Option A,
Highway Engineering,Expansion joints are provided in:,Flexible pavement,Rigid (Concrete) pavement,Gravel roads,Earthen roads,Option B,
Highway Engineering,The portion of the road used by vehicular traffic is called:,Formation width,Carriageway,Right of way,Shoulder,Option B,
Highway Engineering,"In hill roads, the drain is usually provided on:",Outer side,Inner side (hill side),Both sides,No drain needed,Option B,
Estimating & Costing,The unit of measurement for D.P.C. (Damp Proof Course) is:,Running meter,Square meter (m族),Cubic meter (m続),Lump sum,Option B,
Estimating & Costing,The unit of measurement for R.C.C. work is:,kg,m族,m続,Nos,Option C,
Estimating & Costing,Brick partition walls of 10cm (4 inch) thickness are measured in:,m,m族,m続,ft,Option B,
Estimating & Costing,The volume of one bag of cement (50 kg) is approximately:,0.0347 m続,0.045 m続,0.050 m続,0.025 m続,Option A,
Estimating & Costing,The density of mild steel is taken as:,2400 kg/m続,2500 kg/m続,7850 kg/m続,8000 kg/m続,Option C,
Estimating & Costing,The value of the property at the end of its utility period is:,Market value,Book value,Scrap/Salvage value,Assessed value,Option C,
Estimating & Costing,Contingencies' in an estimate are usually provided at:,1% to 2%,3% to 5%,10% to 15%,20%,Option B,
Estimating & Costing,The floor area of a building excluding the area of walls is called:,Plinth area,Carpet area,Circulation area,Built-up area,Option B,
Estimating & Costing,A document containing the detailed description of all items of work is:,Schedule of rates,Bill of Quantities (BOQ),Tender,Specification,Option D,
Estimating & Costing,Measurement of wood work for door and window frames is done in:,m,m族,m続,kg,Option C,
